Index,English Name,Chinese Name,Label,Type
176,Tianjin Binhai Jianghuai County Bank,天津滨海江淮村镇银行,B176,3
177,Tianjin Binhai Deshang County Bank ,天津滨海德商村镇银行,B177,3
178,Hebei Province Rural Credit Cooperatives Association,河北省农村信用社联合社,B178,6
179,Hebei Luanping Rural Commercial Bank,河北滦平农村商业银行,B179,5
180,Hebei Xingtai Rural Commercial Bank ,河北邢台农村商业银行,B180,5
181,Shijiazhuang Huirong Rural Cooperative Bank,石家庄汇融农村合作银行,B181,4
182,Chengde Suburban Rural Credit Cooperative Union,承德市郊区农村信用合作联社,B182,6
183,Anping Huimin Village Bank ,安平惠民村镇银行,B183,3
184,Shenzhou Fengyuan County Bank ,深州丰源村镇银行,B184,3
185,Wuan Rural Bank ,武安村镇银行,B185,3
186,Xianghe Yimin Village Bank,香河益民村镇银行,B186,3
187,Town Bank of Xinda Zhangbei ,张北信达村镇银行,B187,3
188,Yu Xian Yin Tai Rural Bank,蔚县银泰村镇银行,B188,3
189,Tangxian Huize County Bank,唐县汇泽村镇银行,B189,3
190,Xiongxian Fengyuan County Bank,雄县丰源村镇银行,B190,3
191,Qinghe Jinnong Village Bank,清河金农村镇银行,B191,3
192,Ningjin Minsheng Rural Banking Corporation Limited,宁晋民生村镇银行,B192,3
193,Yuanshi Xinrong Town Bank ,元氏信融村镇银行,B193,3
194,Pingshan Xibaipo Jiyin County Bank ,平山西柏坡冀银村镇银行,B194,3
195,Boc Fullerton Community Bank ,中银富登村镇银行,B195,3
196,Shanxi Rural Credit Union,山西省农村信用社联合社,B196,6
197,Shanxi Wutai Rural Commercial Bank,山西五台农村商业银行,B197,5
198,Shanxi  Shouyang  Rural  Commercial Bank,山西寿阳农村商业银行,B198,5
199,Shanxi Yuci Rural Commercial Bank ,山西榆次农村商业银行,B199,5
200,Shanxi Jiexiu Rural Commercial Bank ,山西介休农村商业银行,B200,5
201,Shanxi Lingshi Rural Commercial Bank ,山西灵石农村商业银行,B201,5
202,Jinzhong Kaifaqu Rural Commercial Bank,晋中开发区农村商业银行,B202,5
203,Shanxi  Yuncheng  Rural  Commercial Bank,山西运城农村商业银行,B203,5
204,Shanxi  Hejin  Rural  Commercial  Bank ,山西河津农村商业银行,B204,5
205,Taiyuan Rural Commercial Bank ,太原农村商业银行,B205,5
206,Qingxu Jinshang Country Bank,清徐晋商村镇银行,B206,3
207,Wanrongxian Huimin Village and Town Bank,万荣县汇民村镇银行,B207,3
208,Shuozhoucity Shuochengqu Mengyin Rural Bank,朔州市朔城区蒙银村镇银行,B208,3
209,Yuxian Huimin Village and Town Bank,盂县汇民村镇银行,B209,3
210,Zezhou Spd Rural Bank ,泽州浦发村镇银行,B210,3
211,Lingchuan Taihang Rural Bank ,陵川县太行村镇银行,B211,3
212,Inner Mongolia Shanba Rural Commercial Bank,内蒙古陕坝农村商业银行,B212,5
213,Erdos Rural Commercial Bank,鄂尔多斯农村商业银行,B213,5
214,Alxa  Rural Commercial Bank,阿拉善农村商业银行,B214,5
215,Bayannaoer Hetao Rural Commercial Bank,巴彦淖尔河套农村商业银行,B215,5
216,Baotou Rural Commercial Bank,包头农村商业银行,B216,5
217,Inner Mongolia Etuokeqianqi Rural Commercial Bank,内蒙古鄂托克前旗农村商业银行,B217,5
218,Erenhot Rural Cooperative Bank,二连浩特农村合作银行,B218,4
219,Inner Mongolia Rural Credit Union,内蒙古自治区农村信用社联合社,B219,6
220,Dengkou County Rural Credit Cooperative Association,磴口县农村信用合作联社,B220,6
221,Keshketun Rural and Village Bank,克什克腾农银村镇银行,B221,3
222,Liaoning Province Rural Credit Union,辽宁省农村信用社联合社,B222,6
223,Shenyang Rural Commercial Bank,沈阳农村商业银行,B223,5
224,Anshan Rural Commercial Bank,鞍山农村商业银行,B224,5
225,Benxi Urban Rural Credit Cooperative Association,本溪市市区农村信用合作联社,B225,6
226,Liaoning Xingcheng Rural Commercial Bank,辽宁兴城农村商业银行,B226,5
227,Shenyang Yu Hong Yong 'An Village Bank,沈阳于洪永安村镇银行,B227,3
228,Tieling Rural Commercial Village Bank,铁岭农商村镇银行,B228,3
229,Tieling New Star Village Bank,铁岭新星村镇银行,B229,3
230,Changchun  Rural  Commercial  Bank ,长春农村商业银行,B230,5
231,Changchun Development Rural Commercial Bank,长春发展农村商业银行,B231,5
232,Jilin  Jiutai Rural Commercial Bank,吉林九台农村商业银行,B232,5
233,Jilin Shuangyang Rural Commercial Bank,吉林双阳农村商业银行,B233,5
234,Jilin Jiaohe Rural Commercial Bank,吉林蛟河农村商业银行,B234,5
235,Yanbian Rural Commercial Bank,延边农村商业银行,B235,5
236,Jilin Hunchun Rural Commercial Bank,吉林珲春农村商业银行,B236,5
237,Jilin  Longjing  Rural  Commercial  Bank,吉林龙井农村商业银行,B237,5
238,Jilin Gongzhuling Rural Commercial Bank,吉林公主岭农村商业银行,B238,5
239,Jilin Chuncheng Rural Commercial Bank,吉林春城农村商业银行,B239,5
240,Liaoyuan Rural Commercial Bank ,辽源农村商业银行,B240,5
241,Jilin Province Rural Credit Union,吉林省农村信用社联合社,B241,6
242,Nong'An Bob Rural Bank,农安北银村镇银行,B242,3
243,Sunshine Village Bank of Qianguo County,前郭县阳光村镇银行,B243,3
244,Dunhua Jiangnan Village Bank,敦化江南村镇银行,B244,3
245,Lishu County Yanjia Village Baixin Rural Mutual Funds,梨树县闫家村百信农村资金互助社,B245,7
246,Daxinganling Rural Commercial Bank ,大兴安岭农村商业银行,B246,5
247,Hei He Rural Commercial Bank,黑河农村商业银行,B247,5
248,Harbin Rural Commercial Bank,哈尔滨农村商业银行,B248,5
249,Heilongjiang Rural Credit Cooperatives Association,黑龙江省农村信用社联合社,B249,6
250,Bayan Rongxing Village Bank,巴彦融兴村镇银行,B250,3
251,Shanghai Rural Commercial Bank ,上海农村商业银行,B251,5
252,Shanghai Chongming Hunongshang Village Bank,上海崇明沪农商村镇银行,B252,3
253,Shanghai Fengxian Spd Rural Bank,上海奉贤浦发村镇银行,B253,3
254,"Shanghai Songjiang Minsheng Rural 
Banking Corp.,Ltd",上海松江民生村镇银行,B254,3
255,Shanghai Minhang Shangyin Village Bank,上海闵行上银村镇银行,B255,3
256,Shanghai Jiading Minsheng Rural Banking Corporation ,上海嘉定民生村镇银行,B256,3
257,Shanghai Jinshan Huimin Village Bank,上海金山惠民村镇银行,B257,3
258,Jiangsu Xuyi Rural Commercial Bank,江苏盱眙农村商业银行,B258,5
259,Jiangsu Jiangyin Rural Commercial Bank,江苏江阴农村商业银行,B259,5
260,Jiangsu Zhangjiagang Rural Commercial Bank,江苏张家港农村商业银行,B260,5
261,Jiangsu Jiangdu Rural Commercial Bank ,江苏江都农村商业银行,B261,5
262,Jiangsu Changshu Rural Commercial Bank ,江苏常熟农村商业银行,B262,5
263,Jiangsu Rugao Rural Commercial Bank ,江苏如皋农村商业银行,B263,5
264,Jiangsu Yangzhou Rural Commercial Bank ,江苏扬州农村商业银行,B264,5
265,Jiangsu Haimen Rural Commercial Bank ,江苏海门农村商业银行,B265,5
266,Jiangsu Sheyang Rural Commercial Bank,江苏射阳农村商业银行,B266,5
267,Jiangsu Haian Rural Commercial Bank ,江苏海安农村商业银行,B267,5
268,Jiangsu Zhenjiang Rural Commercial Bank ,江苏镇江农村商业银行,B268,5
269,Jiangsu Siyang Rural Commercial Bank ,江苏泗阳农村商业银行,B269,5
270,Jiangsu Xinghua Rural Commercial Bank ,江苏兴化农村商业银行,B270,5
271,Jiangsu Yizheng Rural Commercial Bank ,江苏仪征农村商业银行,B271,5
272,Jiangsu Gaochun Rural Commercial Bank ,江苏高淳农村商业银行,B272,5
273,Jiangsu Huaian Rural Commercial Bank ,江苏淮安农村商业银行,B273,5
274,Jiangsu Qidong Rural Commercial Bank ,江苏启东农村商业银行,B274,5
275,Jiangsu Shuyang Rural Commercial Bank ,江苏沭阳农村商业银行,B275,5
276,Jiangsu Rudong Rural Commercial Bank ,江苏如东农村商业银行,B276,5
277,Jiangsu Lishui Rural Commercial Bank,江苏溧水农村商业银行,B277,5
278,Jiangsu Suining Rural Commercial Bank ,江苏睢宁农村商业银行,B278,5
279,Xuzhou Rural Commercial Bank,徐州农村商业银行,B279,5
280,Jiangsu Suzhou Rural Commercial Bank ,江苏苏州农村商业银行,B280,5
281,Jiangsu Minfeng Rural Commercial Bank ,江苏民丰农村商业银行,B281,5
282,Jiangsu Jiangnan Rural Commercial Bank ,江苏江南农村商业银行,B282,5
283,Wuxi Rural Commercial Bank,无锡农村商业银行,B283,5
284,Jiangsu Sihong Rural Commercial Bank ,江苏泗洪农村商业银行,B284,5
285,Jiangsu Kunshan Rural Commercial Bank ,江苏昆山农村商业银行,B285,5
286,Jiangsu Donghai Rural Commercial Bank ,江苏东海农村商业银行,B286,5
287,Jiangsu Jiangyan Rural Commercial Bank ,江苏姜堰农村商业银行,B287,5
288,Jiangsu Funing Rural Commercial Bank ,江苏阜宁农村商业银行,B288,5
289,Jiangsu Zijin Rural Commercial Bank ,江苏紫金农村商业银行,B289,5
290,Lianyungang Orient Rural Commercial Bank,连云港东方农村商业银行,B290,5
291,Jiangsu Taicang Rural Commercial Bank ,江苏太仓农村商业银行,B291,5
292,Jiangsu Jingjiang Rural Commercial Bank ,江苏靖江农村商业银行,B292,5
293,Jiangsu Yixing Rura1 Commercial Bank ,江苏宜兴农村商业银行,B293,5
294,Jiangsu Dafeng Rural Commercial Bank,江苏大丰农村商业银行,B294,5
295,Jiangsu Rural Credit Union,江苏省农村信用社联合社,B295,6
296,Liyang Spd Rural Bank,溧阳浦发村镇银行,B296,3
297,Jiangsu Jiangning Bos Rural Bank,江苏江宁上银村镇银行,B297,3
298,Jiangsu Tongzhou Chinese Mercantile County Bank,江苏通州华商村镇银行,B298,3
299,Kunshan Lucheng County Bank ,昆山鹿城村镇银行,B299,3
300,Jiangsu Shuyang Dongwu Rural Bank,江苏沭阳东吴村镇银行,B300,3
301,Taizhou Jiangyan Xizhou County Bank ,泰州姜堰锡州村镇银行,B301,3
302,Yixing Yangxian County Bank ,宜兴阳羡村镇银行,B302,3
303,Jiangyin Spd Rural Bank,江阴浦发村镇银行,B303,3
304,Huishan Mintai Rural Bank of Jiangsu,江苏惠山民泰村镇银行,B304,3
305,Jiangsu Tongshan Xizhou Village Bank,江苏铜山锡州村镇银行,B305,3
306,Suining Boc Fullerton Community Bank,睢宁中银富登村镇银行,B306,3
307,Yangzhong Hengfeng Rural Bank,扬中恒丰村镇银行,B307,3
308,Zhejiang Rural Credit Union,浙江省农村信用社联合社,B308,6
309,Hangzhou United Rural Commercial Bank ,杭州联合农村商业银行,B309,5
310,Zhejiang Xiaoshan Rural Commercial Bank,浙江萧山农村商业银行,B310,5
311,Zhejiang Wenzhou Lucheng Rural Commercial Bank,浙江温州鹿城农村商业银行,B311,5
312,Zhejiang Wenzhou Longwan Rural Commercial Bank,浙江温州龙湾农村商业银行,B312,5
313,Zhejiang Ruian Rural Commercial Bank,浙江瑞安农村商业银行,B313,5
314,Zhejiang Cangnan Rural Commercial Bank ,浙江苍南农村商业银行,B314,5
315,Zhejiang Longgang Rural Commercial Bank ,浙江龙港农村商业银行,B315,5
316,Zhejiang Hecheng Rural Commercial Bank,浙江禾城农村商业银行,B316,5
317,Zhejiang Nanxun Rural Commercial Bank ,浙江南浔农村商业银行,B317,5
318,Zhejiang Deqing Rural Commercial Bank ,浙江德清农村商业银行,B318,5
319,Zhejiang Shaoxing Ruifeng Rural Commercial Bank,浙江绍兴瑞丰农村商业银行,B319,5
320,Zhejiang Yiwu Rural Commercial Bank,浙江义乌农村商业银行,B320,5
321,Zhejiang Yongkang Rural Commercial Bank ,浙江永康农村商业银行,B321,5
322,Zhejiang Shengzhou Ruifeng Village Bank,浙江嵊州瑞丰村镇银行,B322,3
323,Zhejiang Sanmen Yinzuo Rural Bank ,浙江三门银座村镇银行,B323,3
324,Zhejiang Yiwu United Rural Bank ,浙江义乌联合村镇银行,B324,3
325,Zhejiang Lin 'An Citic Village Bank,浙江临安中信村镇银行,B325,3
326,Zhejiang Tonglu Hengfeng Village Bank,浙江桐庐恒丰村镇银行,B326,3
327,Zhejiang Yueqing United Village Bank,浙江乐清联合村镇银行,B327,3
328,Zhejiang Yongjia Hengsheng Village Bank,浙江永嘉恒升村镇银行,B328,3
329,Zhejiang Wencheng North Yincun Bank,浙江文成北银村镇银行,B329,3
330,Zhejiang Pinghu Icbc Rural Bank,浙江平湖工银村镇银行,B330,3
331,Zhejiang Changxing United Rural Bank,浙江长兴联合村镇银行,B331,3
332,Zhejiang Longyou Yishang Village Bank,浙江龙游义商村镇银行,B332,3
333,Ruian Mayu Town Huimin Rural Mutual Funds Association,瑞安市马屿镇汇民农村资金互助社,B333,7
334,Anhui Province Rural Credit Cooperatives Association,安徽省农村信用社联合社,B334,6
335,Hefei Science ＆ Technology Rural Commercial Bank,合肥科技农村商业银行,B335,5
336,Anhui Qianshan Rural Commercial Bank,安徽潜山农村商业银行,B336,5
337,Anqing Rural Commercial Bank,安庆农村商业银行,B337,5
338,Anhui Tongcheng Rural Commercial Bank ,安徽桐城农村商业银行,B338,5
339,Anhui Taihu Rural Commercial Bank ,安徽太湖农村商业银行,B339,5
340,Bengbu Rural Commercial Bank,蚌埠农村商业银行,B340,5
341,Bozhou Yaodu Rural Commercial Bank ,亳州药都农村商业银行,B341,5
342,Anhui Feixi Rural Commercial Bank ,安徽肥西农村商业银行,B342,5
343,Chaohu Rural Commercial Bank ,巢湖农村商业银行,B343,5
344,Anhui Lujiang Rural Commercial Bank ,安徽庐江农村商业银行,B344,5
345,Chizhou Jiuhua Rural Commercial Bank,池州九华农村商业银行,B345,5
346,Anhui Laian Rural Commercial Bank ,安徽来安农村商业银行,B346,5
347,Fuyangyingdong Rural Commercial Bank ,阜阳颍东农村商业银行,B347,5
348,Huaibei Rural Commercial Bank,淮北农村商业银行,B348,5
349,Anhui Maanshan Rural Commercial Bank,安徽马鞍山农村商业银行,B349,5
350,Tongling Rural Commercial Bank ,铜陵农村商业银行,B350,5
351,Wuhu Yangzi Rural Commercial Bank  ,芜湖扬子农村商业银行,B351,5
352,Xuancheng Wannan Rural Commercial Bank ,宣城皖南农村商业银行,B352,5
353,Anhui  Ningguo Rural Commercial Bank ,安徽宁国农村商业银行,B353,5
354,Anhui Wuhe Yongtai Village Bank,安徽五河永泰村镇银行,B354,3
355,Anhui Changfeng Keyuan Town Bank ,安徽长丰科源村镇银行,B355,3
356,Jinzhai Hui Silver Village Bank,金寨徽银村镇银行,B356,3
357,He Xian Xinhua Village and Township Bank,安徽和县新华村镇银行,B357,3
358,Wuwei Huiyin Town Bank,无为徽银村镇银行,B358,3
359,Jixi Nongying Village Bank,绩溪农银村镇银行,B359,3
360,Fujian Rural Credit Cooperatives Association,福建省农村信用社联合社,B360,6
361,Fujian Fuzhou Rural Commercial Bank ,福建福州农村商业银行,B361,5
362,Fujian Fuqing Huitong Rural Commercial Bank ,福建福清汇通农村商业银行,B362,5
363,Quanzhou Rural Commercial Bank ,泉州农村商业银行,B363,5
364,Fujian Nan An Rural Commercial Bank ,福建南安农村商业银行,B364,5
365,"Anxi Minsheng Rural Banking Corp.,Ltd.",安溪民生村镇银行,B365,3
366,Huian Zhongcheng Rural Bank ,惠安中成村镇银行,B366,3
367,Fujian Zhangzhou Rural Commercial Bank ,福建漳州农村商业银行,B367,5
368,Zhangpu Minsheng Rural Bank ,漳浦民生村镇银行,B368,3
369,Nanjing Zhongcheng Rural Bank ,南靖中成村镇银行,B369,3
370,Fujian Jianou Ruishi Rural Bank ,福建建瓯瑞狮村镇银行,B370,3
371,Wuyishan Benfu Township Bank ,武夷山本富村镇银行,B371,3
372,Guangze Red Erythrina Rural Bank ,光泽刺桐红村镇银行,B372,3
373,Fu 'An Rural Credit Cooperative Union,福安市农村信用合作联社,B373,6
374,Fujian Fuan Cqrc County Bank ,福建福安渝农商村镇银行,B374,3
375,Jiang Xi Rural Credit Cooperative Union,江西省农村信用社联合社,B375,6
376,Nanchang Rural Commercial Bank,南昌农村商业银行,B376,5
377,Jiangxi Xinjian Rural Commercial Bank ,江西新建农村商业银行,B377,5
378,Jingdezhen Rural Commercial Bank,景德镇农村商业银行,B378,5
379,Xinyu Rural Commercial Bank,新余农村商业银行,B379,5
380,Jiangxi Dexing Rural Commercial Bank ,江西德兴农村商业银行,B380,5
381,Ji An Chouzhou Rural Bank,吉安稠州村镇银行,B381,3
382,Rural Commercial Community Bank of Fuliang,浮梁农商村镇银行,B382,3
383,Guixi Jiuyin County Bank,贵溪九银村镇银行,B383,3
384,Weifang  Rural  Commercial  Bank,潍坊农村商业银行,B384,5
385,Shandong Shouguang Rural Commercial Bank ,山东寿光农村商业银行,B385,5
386,Shandong Tengzhou Rural Commercial Bank ,山东滕州农村商业银行,B386,5
387,Shandong Yucheng Rural Commercial Bank ,山东禹城农村商业银行,B387,5
388,Shandong  Laiwu  Rural  Commercial Bank ,山东莱芜农村商业银行,B388,5
389,Shandong Guangrao Rural Commercial Bank,山东广饶农村商业银行,B389,5
390,Heze  Rural  Commercial  Bank ,菏泽农村商业银行,B390,5
391,Shandong Weihai Rural Commercial Bank ,山东威海农村商业银行,B391,5
392,Shandong Rongcheng Rural Commercial Bank ,山东荣成农村商业银行,B392,5
393,Shandong Longkou Rural Commercial Bank ,山东龙口农村商业银行,B393,5
394,Yantai Rural Commercial Bank,烟台农村商业银行,B394,5
395,Shandong Linzi Rural Commercial Bank ,山东临淄农村商业银行,B395,5
396,Shandong Zouping Rural Commercial Bank ,山东邹平农村商业银行,B396,5
397,Shandong Yanggu Rural Commercial Bank ,山东阳谷农村商业银行,B397,5
398,Jinan Rural Commercial Bank,济南农村商业银行,B398,5
399,Shandong Rural Credit Cooperatives Association,山东省农村信用社联合社,B399,6
400,Zouping Spd Rural Bank,邹平浦发村镇银行,B400,3
401,Guangrao Liangzou County Bank,广饶梁邹村镇银行,B401,3
402,Jining High-Tech County Bank ,济宁高新村镇银行,B402,3
403,Jining Rushang Rural Bank ;,济宁儒商村镇银行,B403,3
404,Laiwu Zhujiang Rural Bank ,莱芜珠江村镇银行,B404,3
405,Zhangqiu Qilu Village Bank ,章丘齐鲁村镇银行,B405,3
406,Rushan Tianjiao Village Bank,乳山天骄村镇银行,B406,3
407,Shandong Rongcheng Hsbc Rural Bank,山东荣成汇丰村镇银行,B407,3
408,Shouguang Zrcb Country Bank,寿光张农商村镇银行,B408,3
409,Gao Mi Hui Min Village Bank,高密惠民村镇银行,B409,3
410,Penglai Minsheng Rural Banking ,蓬莱民生村镇银行,B410,3
411,Henan Yichuan Rural Commercial Bank ,河南伊川农村商业银行,B411,5
